name,Location_Unique,Lat,Long,Status,review_datetime_utc,Sentiment_Score_mean,Sentiment_Score_median,Sentiment_Score_std,review_rating_mean,review_rating_median,review_rating_std,O2_mg/l_mean,O2_mg/l_median,O2_mg/l_std,O2_%_mean,O2_%_median,O2_%_std,T_oC_mean,T_oC_median,T_oC_std,ZICHT_m_mean,ZICHT_m_median,ZICHT_m_std,INTTNLETRCCN_nKVE/dl_mean,INTTNLETRCCN_nKVE/dl_median,INTTNLETRCCN_nKVE/dl_std,E_COLI_nKVE/dl_mean,E_COLI_nKVE/dl_median,E_COLI_nKVE/dl_std,BADGT_n_mean,BADGT_n_median,BADGT_n_std,CHLFa_ug/l_blauwalg_mean,CHLFa_ug/l_blauwalg_median,CHLFa_ug/l_blauwalg_std,FG_mean,FG_median,FG_std,TG_mean,TG_median,TG_std,SQ_mean,SQ_median,SQ_std,DR_mean,DR_median,DR_std,RH_mean,RH_median,RH_std,PG_mean,PG_median,PG_std,UG_mean,UG_median,UG_std,EV24_mean,EV24_median,EV24_std,Amenities_Score,Normalized_Amenities_Score
Park de Oeverlanden,Nieuwemeer,52.3349228,4.8191074,official,2019-11-01,0.5022666666666668,0.71095,0.5842122993113605,4.2631578947368425,4.0,0.6533762964749501,2.9,2.9,0.0,26.0,26.0,0.0,9.9,9.9,0.0,1.0,1.0,0.0,,,,,,,,,,,,,4.34,4.05,1.7932465902193522,6.6433333333333335,6.2,2.520804545290165,2.3133333333333335,1.4,2.5222652957653406,2.9833333333333334,0.6,3.4509982452746755,3.956666666666666,0.8,5.622258344196654,1002.5133333333334,1002.7,9.402933348458639,88.43333333333334,89.0,3.666818178687832,0.38333333333333336,0.3,0.19336206683030902,4,0.29
Park de Oeverlanden,Nieuwemeer,52.3349228,4.8191074,official,2019-10-01,0.5256333333333334,0.61815,0.288904320955341,4.387096774193548,5.0,1.054432528419551,2.5,2.5,0.0,25.0,25.0,0.0,14.4,14.4,0.0,1.0,1.0,0.0,,,,,,,,,,,,,4.945161290322581,4.7,1.9876779627653094,11.612903225806452,11.8,2.7677569741677304,3.238709677419355,2.4,2.644736393883548,3.0806451612903225,1.6,3.8814213687554497,4.380645161290323,1.5,7.011116489010619,1011.8258064516128,1009.9,7.200536169191113,85.41935483870968,85.0,5.185427431589709,0.8161290322580645,0.8,0.29303393417227785,4,0.29
Park de Oeverlanden,Nieuwemeer,52.3349228,4.8191074,official,2019-09-01,0.6118923076923077,0.5994,0.2232966392549697,4.386363636363637,4.5,0.6893174612381908,7.5,7.5,0.0,76.0,76.0,0.0,15.4,15.4,0.0,0.9,0.9,0.0,,,,,,,,,,,,,4.743333333333334,4.7,1.8395077844056245,15.169999999999998,15.350000000000001,1.4873130134574901,5.4,5.449999999999999,3.6064756572957295,2.18,0.8,2.8720956344337374,3.23,0.6499999999999999,4.4128713252635565,1017.35,1019.25,8.900814569464975,77.76666666666667,78.0,8.448602777317022,1.7833333333333334,1.75,0.7642352750008046,4,0.29
Park de Oeverlanden,Nieuwemeer,52.3349228,4.8191074,official,2019-08-01,0.382185,0.5037,0.3470938114886006,4.43859649122807,5.0,0.8021743633856562,3.8,3.8,0.0,41.0,41.0,0.0,18.8,18.8,0.0,0.8,0.8,0.0,,,,,,,,,,,,,4.596774193548387,4.6,2.0496237059783,18.822580645161292,18.5,2.3625723648134525,7.767741935483872,7.6,3.4677674417666617,1.0903225806451613,0.0,1.689503618400058,1.8,0.0,3.03495761781536,1014.7483870967742,1014.4,5.816598660659695,74.19354838709677,75.0,6.213509500449389,2.9612903225806453,2.9,0.781511116613333,4,0.29
Park de Oeverlanden,Nieuwemeer,52.3349228,4.8191074,official,2019-07-01,0.4863758620689655,0.5859,0.3761620942921628,4.4035087719298245,5.0,0.9422550671282284,4.3,4.3,0.0,48.0,48.0,0.0,21.1,21.1,0.0,1.1,1.1,0.0,,,,,,,,,,,,,3.8806451612903223,3.8,1.0929154129647645,18.65806451612903,18.1,3.6410539234206656,8.125806451612904,8.4,4.674223602387852,0.8967741935483872,0.0,1.6211274195145084,1.3870967741935485,0.0,3.0586463309332657,1015.816129032258,1016.3,5.656004333061341,71.70967741935483,71.0,7.755096340522176,3.5,3.5,1.2993795045229062,4,0.29
Park de Oeverlanden,Nieuwemeer,52.3349228,4.8191074,official,2019-06-01,0.5425208333333333,0.61215,0.364861150456333,4.365079365079365,5.0,0.8853937943191975,10.0,10.0,0.0,108.0,108.0,0.0,18.5,18.5,0.0,1.0,1.0,0.0,,,,,,,,,,,,,4.496666666666667,4.25,1.5990587509184544,17.82,16.950000000000003,3.231655922278856,8.76,9.4,3.9610268029051934,1.1266666666666665,0.05,1.8350174083340158,3.79,0.05,7.188525579004363,1015.3866666666667,1013.8499999999999,5.705420424668312,73.23333333333333,73.0,7.513025725734976,3.7633333333333336,3.8,1.2384084768587285,4,0.29
Park de Oeverlanden,Nieuwemeer,52.3349228,4.8191074,official,2019-05-01,0.4625315789473684,0.4754,0.242407861195941,4.3090909090909095,4.0,0.7667325399895247,8.7,8.7,0.0,80.0,80.0,0.0,11.4,11.4,0.0,1.0,1.0,0.0,,,,,,,,,,,,,4.351612903225806,4.0,1.2888782238685463,11.661290322580646,11.9,2.8314680358947095,7.22258064516129,6.9,4.512971246230448,0.7258064516129032,0.0,1.3300418964867196,0.9870967741935484,0.0,2.64998380220051,1016.2354838709678,1015.8,9.221312914257007,73.6774193548387,74.0,8.45247471597174,2.870967741935484,2.8,1.143902079157719,4,0.29
Park de Oeverlanden,Nieuwemeer,52.3349228,4.8191074,official,2019-04-01,0.6565428571428572,0.5994,0.140460597762538,4.53125,5.0,0.7613390156652903,7.0,7.0,0.0,63.0,63.0,0.0,10.1,10.1,0.0,0.8,0.8,0.0,,,,,,,,,,,,,4.756666666666666,4.8,1.226562495576787,11.01,10.4,3.9372875604066984,8.556666666666667,10.5,4.08523221154223,0.48666666666666664,0.0,1.0722976369563733,1.0833333333333333,0.0,2.5933354755775215,1015.2900000000001,1017.55,9.697674979086475,67.0,66.0,12.069244660154448,2.603333333333333,2.7,0.8968401319199661,4,0.29
Park de Oeverlanden,Nieuwemeer,52.3349228,4.8191074,official,2019-03-01,0.5103285714285715,0.4215,0.2856456937903185,4.181818181818182,4.0,0.9816498172140428,9.7,9.7,0.0,83.0,83.0,0.0,7.7,7.7,0.0,0.8,0.8,0.0,,,,,,,,,,,,,6.706451612903226,6.5,3.273149364723175,7.925806451612903,8.1,1.4990250039739237,4.1,3.0,3.232895436481948,2.6,1.0,3.40521421807318,2.364516129032258,0.4,3.716966191545828,1015.2193548387097,1015.9,13.760729991768144,81.03225806451613,80.0,5.710679700620595,1.1387096774193548,1.1,0.6240747573885466,4,0.29
Park de Oeverlanden,Nieuwemeer,52.3349228,4.8191074,official,2019-02-01,0.6551600000000001,0.5994,0.1693635970331287,4.454545454545454,5.0,0.8201995322647245,4.2,4.2,0.0,31.0,31.0,0.0,3.0,3.0,0.0,1.2,1.2,0.0,,,,,,,,,,,,,4.7749999999999995,4.1,2.600635224599669,6.346428571428571,7.15,2.2530110238233165,5.1571428571428575,6.35,3.8537021691048294,2.275,0.0,4.176860150194848,1.4035714285714285,0.0,3.298103583106202,1020.7357142857144,1021.7,13.229437259539111,82.25,83.5,10.408187024782805,0.8107142857142857,0.8500000000000001,0.47157735747344004,4,0.29
