Location_Unique,Lat,Long,Status,Sentiment_Score_median,INTTNLETRCCN_nKVE/dl_median,E_COLI_nKVE/dl_median,CHLFa_ug/l_blauwalg_median,FG_median,TG_median,SQ_median,DR_median,RH_median,Normalized_Amenities_Score
Gaasperplas,52.3069241,4.9864444,official,0.6124,,,0.6,4.7,11.8,2.4,1.6,1.5,0.36
Gaasperplas,52.3069241,4.9864444,official,0.4927,130.0,840.0,1.8,4.7,15.35,5.449999999999999,0.8,0.6499999999999999,0.36
Gaasperplas,52.3069241,4.9864444,official,0.4843,30.0,350.0,0.8,4.6,18.5,7.6,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,0.7527,110.0,210.0,1.7,3.8,18.1,8.4,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,0.5719,40.0,205.0,1.6,4.25,16.950000000000003,9.4,0.05,0.05,0.36
Gaasperplas,52.3069241,4.9864444,official,0.4215,20.0,70.0,0.8,4.0,11.9,6.9,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,0.6387,40.0,47.5,0.5,4.8,10.4,10.5,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,0.764,,,0.5,6.5,8.1,3.0,1.0,0.4,0.36
Gaasperplas,52.3069241,4.9864444,official,0.3703499999999999,,,0.5,4.1,7.15,6.35,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,,,,0.5,5.1,4.6,0.7,1.3,0.7,0.36
Gaasperplas,52.3069241,4.9864444,official,0.6361,,,0.5,5.6,6.5,0.7,1.5,0.8,0.36
Gaasperplas,52.3069241,4.9864444,official,,,,0.5,4.75,6.9,1.35,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,0.53235,,,0.5,4.2,12.7,6.8,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,,30.0,180.0,0.5,4.199999999999999,15.25,6.300000000000001,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,0.5719,20.0,90.0,1.0,4.0,19.0,7.0,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,0.4215,55.0,220.0,0.5,3.3,20.0,11.7,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,0.5244,20.0,50.0,0.65,4.25,17.0,7.25,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,0.8442,15.0,20.0,0.5,3.9,17.8,10.3,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,,,,0.5,4.6,5.6,4.0,1.0,0.2,0.36
Gaasperplas,52.3069241,4.9864444,official,,,,,5.449999999999999,1.5,6.4,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,0.5994,,,0.5,6.5,5.2,0.9,1.7,0.8,0.36
Gaasperplas,52.3069241,4.9864444,official,,,,,5.8,5.3,0.3,2.8,2.8,0.36
Gaasperplas,52.3069241,4.9864444,official,0.7783,17.5,45.0,0.5,3.7,14.35,4.9,0.75,0.5,0.36
Gaasperplas,52.3069241,4.9864444,official,0.6249,17.5,75.0,0.5,3.5,17.4,6.6,0.3,0.2,0.36
Gaasperplas,52.3069241,4.9864444,official,,20.0,50.0,0.5,4.45,9.05,7.15,0.35,0.05,0.36
Gaasperplas,52.3069241,4.9864444,official,0.0,,,,3.8,1.3,2.3,0.3,0.1,0.36
Gaasperplas,52.3069241,4.9864444,official,0.9398,,,0.5,3.8,9.9,4.3,0.0,0.0,0.36
Gaasperplas,52.3060961,4.9879584,official,,200.0,390.0,0.55,3.1,17.5,6.15,0.0,0.0,0.29
Gaasperplas,52.3060961,4.9879584,official,0.9169,15.0,145.0,0.75,5.8,18.0,6.8,0.4,0.3,0.29
Gaasperplas,52.3060961,4.9879584,official,,25.0,220.0,1.2,4.5,19.950000000000003,13.2,0.0,0.0,0.29
Gaasperplas,52.3060961,4.9879584,official,,15.0,60.0,4.15,4.3,13.6,8.8,0.0,0.0,0.29
Gaasperplas,52.3060961,4.9879584,official,,40.0,160.0,0.9,3.4,14.45,7.3,1.75,2.8499999999999996,0.29
Gaasperplas,52.3060961,4.9879584,official,0.6361,17.5,80.0,0.9,3.4,19.8,9.0,0.0,0.0,0.29
Gaasperplas,52.3060961,4.9879584,official,0.4767,30.0,205.0,0.9,4.2,17.4,9.2,0.0,0.0,0.29
Gaasperplas,52.3060961,4.9879584,official,0.5994,17.5,80.0,0.7,4.15,16.799999999999997,10.95,0.0,0.0,0.29
Gaasperplas,52.3060961,4.9879584,official,,,,5.0,7.8,6.949999999999999,3.85,2.1,1.5,0.29
Gaasperplas,52.3060961,4.9879584,official,0.6369,,,0.5,5.0,5.5,1.0,0.0,0.0,0.29
Gaasperplas,52.3060961,4.9879584,official,,35.0,250.0,1.05,3.45,16.45,6.0,0.0,0.0,0.29
Gaasperplas,52.3060961,4.9879584,official,,80.0,360.0,1.15,4.5,17.0,5.6,0.1,0.1,0.29
Gaasperplas,52.3060961,4.9879584,official,0.7351,20.0,300.0,0.5,3.55,17.85,8.149999999999999,0.0,0.0,0.29
Gaasperplas,52.3060961,4.9879584,official,,30.0,15.0,0.5,4.4,6.85,7.0,0.0,0.0,0.29
Gaasperplas,52.3060961,4.9879584,official,,,,0.5,4.2,6.3,3.3,0.0,0.0,0.29
Gaasperplas,52.3060961,4.9879584,official,0.0,,,0.5,5.15,5.25,5.2,0.0,0.0,0.29
Gaasperplas,52.3060961,4.9879584,official,0.7717,45.0,485.0,1.35,4.0,20.4,7.5,0.4,0.3,0.29
Gaasperplas,52.3060961,4.9879584,official,0.937,25.0,160.0,1.9,4.2,17.3,6.4,0.3,0.3,0.29
Gaasperplas,52.3060961,4.9879584,official,,45.0,90.0,0.5,4.5,13.6,11.7,0.0,0.0,0.29
Gaasperplas,52.3060961,4.9879584,official,,,,0.5,9.2,7.6,2.6,2.5,2.7,0.29
Gaasperplas,52.3060961,4.9879584,official,,110.0,210.0,1.7,3.8,18.1,8.4,0.0,0.0,0.29
Gaasperplas,52.3060961,4.9879584,official,0.7096,20.0,90.0,1.0,4.0,19.0,7.0,0.0,0.0,0.29
Gaasperplas,52.3060961,4.9879584,official,-0.6787,,,0.5,6.0,13.5,3.3,0.8,0.4,0.29
Gaasperplas,52.3060961,4.9879584,official,,20.0,50.0,0.5,4.45,9.05,7.15,0.35,0.05,0.29
