Sentiment_Score,O2_mg/l,O2_%,T_oC,ZICHT_m,INTTNLETRCCN_nKVE/dl,E_COLI_nKVE/dl,CHLFa_ug/l_blauwalg,FG,TG,SQ,DR,RH,Normalized_Amenities_Score,Status
0.0,7.990428040340947,71.29553032733905,10.430761293909676,1.2171326414683197,233.5363019277363,522.3964374672219,4.846147464750577,4.7,9.2,0.0,5.2,1.9,0.36,1
0.7783,7.000661441364624,70.57901993513302,17.123093330413134,1.1093636106733502,224.6634762518754,448.48249780814695,4.817561068476401,5.8,15.6,3.1,1.8,3.0,0.36,1
-0.2057,7.001261566315849,69.95878644329623,16.597102328187113,1.0624894411338808,191.24059859755994,524.8228548735137,4.818358843183402,4.0,16.0,5.7,0.0,0.0,0.36,1
0.7717,7.021359498336954,70.82887886138815,17.788790135076873,1.1218949594009917,213.36671122921393,441.02621703137265,4.807405468171501,4.5,15.9,3.6,0.1,0.1,0.36,1
0.25,6.59282067060629,70.29298893961312,18.819162281191637,1.0703173056214617,200.21259263315847,490.43097969309474,4.813706074480005,3.3,18.2,11.4,0.0,0.0,0.36,1
0.7564,6.562987790244106,70.87601922567377,19.767137142295596,1.1187799882036984,211.12876528431366,438.6833716829815,4.804894012386565,2.8,18.3,8.8,0.0,0.0,0.36,1
0.8553,7.9270398144961955,70.95741020201743,12.978638269601753,1.1162386803815938,211.90130446435137,465.12693407572533,4.814270586357487,6.5,10.5,4.8,0.9,1.3,0.36,1
0.4215,8.41937366501125,71.1198413791169,10.14305767525942,1.1208536294895524,186.88796932748187,508.69888367767817,4.810474792556762,4.4,7.4,8.6,0.2,0.3,0.36,1
0.7016,8.632162351073475,70.77562227893968,9.620276556875119,1.0819967554291825,198.91817914076933,500.99635007704364,4.817028120414935,8.3,6.9,6.0,0.0,-0.1,0.36,1
0.8225,12.0,98.0,6.4,3.0,-193.88232202748554,813.5452241028202,0.5,3.3,5.6,9.2,0.0,-0.1,0.36,1
0.6908,8.6,68.0,4.9,0.3,245.78698450521074,585.3950945043298,4.869368890802926,5.0,8.2,0.0,7.4,13.2,0.36,1
0.3182,9.3554969002825,71.96935957174526,6.11102594514329,1.2135747874731173,172.80134404392197,500.92681307883277,4.797864756515931,2.0,1.6,0.0,0.0,0.0,0.36,1
0.0,8.288588856188518,70.20110624018571,7.171731785295229,1.1108363878973915,211.71062761857615,543.0461807442707,4.837651399723492,5.3,5.3,1.3,7.5,15.6,0.36,1
0.0,10.1,91.0,11.1,1.0,50.0,310.0,0.5,6.6,8.4,3.1,2.0,2.6,0.36,1
