Sentiment_Score_median,INTTNLETRCCN_nKVE/dl_median,E_COLI_nKVE/dl_median,CHLFa_ug/l_blauwalg_median,FG_median,TG_median,SQ_median,DR_median,RH_median,Normalized_Amenities_Score,Status
0.5994,188.9795301105876,503.6978631316415,0.5,9.2,7.6,2.6,2.5,2.7,0.36,1
0.4593,122.31059241813207,403.5925841611118,0.5,6.2,6.5,0.4,1.0,0.7,0.36,1
0.5368355484079516,93.30001007063541,256.41309226276564,0.5,5.2,6.2,2.4,1.6,0.7,0.36,1
0.0,90.3752580004151,277.0272108699395,0.6,4.05,6.2,1.4,0.6,0.8,0.36,1
0.6124,143.04036894735526,475.61217150769255,0.6,4.7,11.8,2.4,1.6,1.5,0.36,1
0.4927,130.0,840.0,1.8,4.7,15.35,5.449999999999999,0.8,0.6499999999999999,0.36,1
0.4843,30.0,350.0,0.8,4.6,18.5,7.6,0.0,0.0,0.36,1
0.7527,110.0,210.0,1.7,3.8,18.1,8.4,0.0,0.0,0.36,1
0.5719,40.0,205.0,1.6,4.25,16.950000000000003,9.4,0.05,0.05,0.36,1
0.4215,20.0,70.0,0.8,4.0,11.9,6.9,0.0,0.0,0.36,1
0.6387,40.0,47.5,0.5,4.8,10.4,10.5,0.0,0.0,0.36,1
0.764,99.59342576802618,332.4461199175439,0.5,6.5,8.1,3.0,1.0,0.4,0.36,1
0.3703499999999999,19.48318508914393,39.02475190116107,0.5,4.1,7.15,6.35,0.0,0.0,0.36,1
0.5360467871030675,98.00682407591833,278.6717084349055,0.5,5.1,4.6,0.7,1.3,0.7,0.36,1
0.6361,118.57928531007434,368.85775691793106,0.5,5.6,6.5,0.7,1.5,0.8,0.36,1
0.5423587895036996,77.57483575473768,299.1246311352672,0.5,4.75,6.9,1.35,0.0,0.0,0.36,1
0.53235,51.490124903707034,225.1654401294956,0.5,4.2,12.7,6.8,0.0,0.0,0.36,1
0.5502697677999729,30.0,180.0,0.5,4.199999999999999,15.25,6.300000000000001,0.0,0.0,0.36,1
0.5719,20.0,90.0,1.0,4.0,19.0,7.0,0.0,0.0,0.36,1
0.4215,55.0,220.0,0.5,3.3,20.0,11.7,0.0,0.0,0.36,1
0.5244,20.0,50.0,0.65,4.25,17.0,7.25,0.0,0.0,0.36,1
0.8442,15.0,20.0,0.5,3.9,17.8,10.3,0.0,0.0,0.36,1
